Date,Close,Volume,Open,High,Low
12/26/2025,273.40,21521800,274.16,275.37,272.86
12/24/2025,273.81,17910570,272.34,275.43,272.20
12/23/2025,272.36,29642000,270.84,272.50,269.56
12/22/2025,270.97,36571830,272.86,273.88,270.51
12/19/2025,273.67,144632000,272.15,274.60,269.90
12/18/2025,272.19,51630720,273.61,273.63,266.95
12/17/2025,271.84,50138740,275.01,276.16,271.64
12/16/2025,274.61,37648630,272.82,275.50,271.79
12/15/2025,274.11,50409080,280.15,280.15,272.84
12/12/2025,278.28,39532890,277.90,279.22,276.82
12/11/2025,278.03,33247990,279.10,279.59,273.81
12/10/2025,278.78,33038320,277.75,279.75,276.44
12/9/2025,277.18,32193260,278.16,280.03,276.92
12/8/2025,277.89,38211830,278.13,279.67,276.15
12/5/2025,278.78,47265850,280.54,281.14,278.05
12/4/2025,280.70,43989060,284.10,284.73,278.59
12/3/2025,284.15,43538690,286.20,288.62,283.30
12/2/2025,286.19,53669530,283.00,287.40,282.63
12/1/2025,283.10,46587720,278.01,283.42,276.14
11/28/2025,278.85,20135620,277.26,279.00,275.99
11/26/2025,277.55,33431420,276.96,279.53,276.63
11/25/2025,276.97,46914220,275.27,280.38,275.25
11/24/2025,275.92,65585800,270.90,277.00,270.90
11/21/2025,271.49,59030830,265.95,273.33,265.67
11/20/2025,266.25,45823570,270.83,275.43,265.92
11/19/2025,268.56,40424490,265.53,272.21,265.50
11/18/2025,267.44,45677280,269.99,270.71,265.32
11/17/2025,267.46,45018260,268.82,270.49,265.73
11/14/2025,272.41,47431330,271.05,275.96,269.60
11/13/2025,272.95,49602790,274.11,276.70,272.09
11/12/2025,273.47,48397980,275.00,275.73,271.70
11/11/2025,275.25,46208320,269.81,275.91,269.80
11/10/2025,269.43,41312410,268.96,273.73,267.46
11/7/2025,268.47,48227370,269.80,272.29,266.77
11/6/2025,269.77,51204050,267.89,273.40,267.89
11/5/2025,270.14,43683070,268.61,271.70,266.93
11/4/2025,270.04,49274850,268.33,271.49,267.62
11/3/2025,269.05,50194580,270.42,270.85,266.25
10/31/2025,270.37,86167120,276.99,277.32,269.16
10/30/2025,271.40,69886530,271.99,274.14,268.48
10/29/2025,269.70,51086740,269.28,271.41,267.11
10/28/2025,269.00,41534760,268.99,269.89,268.15
10/27/2025,268.81,44888150,264.88,269.12,264.65
10/24/2025,262.82,38253720,261.19,264.13,259.18
10/23/2025,259.58,32754940,259.94,260.62,258.01
10/22/2025,258.45,45015250,262.65,262.85,255.43
10/21/2025,262.77,46695950,261.88,265.29,261.83
10/20/2025,262.24,90483030,255.89,264.38,255.63
10/17/2025,252.29,49146960,248.02,253.38,247.27
10/16/2025,247.45,39776970,248.25,249.04,245.13
10/15/2025,249.34,33893610,249.49,251.82,247.47
10/14/2025,247.77,35477990,246.60,248.85,244.70
10/13/2025,247.66,38142940,249.38,249.69,245.56
10/10/2025,245.27,61999100,254.94,256.38,244.00
10/9/2025,254.04,38322010,257.81,258.00,253.14
10/8/2025,258.06,36496900,256.52,258.52,256.11
10/7/2025,256.48,31955780,256.81,257.40,255.43
10/6/2025,256.69,44664120,257.99,259.07,255.05
10/3/2025,258.02,49155610,254.67,259.24,253.95
10/2/2025,257.13,42630240,256.58,258.18,254.15
10/1/2025,255.45,48713940,255.04,258.79,254.93
9/30/2025,254.63,37704260,254.86,255.92,253.11
9/29/2025,254.43,40127690,254.56,255.00,253.01
9/26/2025,255.46,46076260,254.10,257.60,253.78
9/25/2025,256.87,55202080,253.21,257.17,251.71
9/24/2025,252.31,42303710,255.22,255.74,251.04
9/23/2025,254.43,60275190,255.88,257.34,253.58
9/22/2025,256.08,105517400,248.30,256.64,248.12
9/19/2025,245.50,163741300,241.23,246.30,240.21
9/18/2025,237.88,44249580,239.97,241.20,236.65
9/17/2025,238.99,46508020,238.97,240.10,237.73
9/16/2025,238.15,63421100,237.18,241.22,236.32
9/15/2025,236.70,42699520,237.00,238.19,235.03
9/12/2025,234.07,55824220,229.22,234.51,229.02
9/11/2025,230.03,50208580,226.88,230.45,226.65
9/10/2025,226.79,83440810,232.19,232.42,225.95
